Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Honduras,"{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}",*
Scotland,"{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos, Nicaragua}","{Laos, Nicaragua}","{Trinadad&Tobago, Laos, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}",*
Canada,"{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
England,"{England}","{England}","{England}","{England}","{England}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Ecuador,"{Ecuador}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
France,"{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy, Greece}","{France, Italy, Greece}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
El-Salvador,"{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Trinadad&Tobago,"{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago, Laos, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}",*
Hungary,"{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Cuba,"{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
