United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Honduras,"{Honduras}","{Honduras}","{Guatemala, Cambodia, ?, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}",*
Scotland,"{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Canada,"{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
England,"{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England, Italy}","{England, Italy}","{England, Italy}","{England, Italy}","{England, Italy}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Ecuador,"{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador, Taiwan}","{Ecuador, Taiwan}","{Ecuador, Taiwan}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
France,"{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
El-Salvador,"{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
