Honduras,"{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Peru,"{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Ecuador,"{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Hungary,"{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Yugoslavia, Poland, Iran, Hungary}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Japan,"{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Canada,"{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada, India}","{Canada, India}","{Canada, India}","{Canada, India}","{Canada, India}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Columbia, Canada, South, India, Ireland, Scotland}","{England, United-States, ?, Columbia, Canada, South, India, Ireland, Scotland}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
England,"{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Columbia, Canada, South, India, Ireland, Scotland}","{England, United-States, ?, Columbia, Canada, South, India, Ireland, Scotland}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Taiwan,"{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Taiwan, China}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Hong, China, Taiwan}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Guatemala,"{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
