?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
India,"{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany, Italy}","{Germany, Italy}","{Germany, Italy}","{Germany, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Honduras,"{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Scotland,"{Scotland}","{Scotland}","{Scotland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Canada,"{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
England,"{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, India, United-States, Canada, Ireland, England}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Ecuador,"{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
France,"{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
