?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Honduras,"{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Honduras}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Scotland,"{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Canada,"{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada}","{Canada, Mexico}","{Canada, Mexico}","{Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
England,"{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{England}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Ecuador,"{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
France,"{France}","{France}","{France}","{France}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
El-Salvador,"{El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador, Nicaragua}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Trinadad&Tobago,"{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
